model,training_seconds,train_mae,train_rmse,train_r2,validation_mae,validation_rmse,validation_r2,validation_log_mae,test_mae,test_rmse,test_r2,test_log_mae,test_log_rmse,train_test_r2_gap
Decision Tree,1.3989,3.837643,55.954915,0.996,10.05901,145.346171,0.970466,0.161811,10.980178,145.888851,0.97003,0.18202,0.382348,0.025971
Random Forest,107.2288,3.998677,128.512811,0.978902,9.134973,140.568624,0.972375,0.130054,11.606862,184.271538,0.952185,0.151001,0.25554,0.026717
Gradient Boosting,3.4817,10.285176,183.52834,0.956972,15.248611,217.44936,0.933894,0.158684,18.10817,266.306081,0.900136,0.178118,0.279569,0.056836
Linear Regression,0.1721,34.23217,420.419159,0.774208,28.206121,366.235837,0.812482,0.272727,28.553019,400.044885,0.774647,0.266757,0.46784,-0.000439
