mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.5923984050750732,0.07714488718526619,0.026429033279418944,0.0052367160026353925,,1,10,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",-0.134864523121236,-0.13946706619124583,-0.12418905654490796,-0.1462395928546573,-0.13125495807391305,-0.13520303935719202,0.007443079932321245,1,-0.05145541363186296,-0.05222229810962252,-0.052487823633663895,-0.05131765161105217,-0.05437132867731502,-0.05237090313270332,0.0010940672748943837
1.5469830989837647,0.06778541811033716,0.027885913848876953,0.003646698463107229,,2,10,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",-0.13321479362866337,-0.13892109229666197,-0.12377823546548508,-0.14730216588080186,-0.13298150621903157,-0.13523955869812876,0.007741066935618468,2,-0.061263186378874276,-0.06220271153022037,-0.0635856133243338,-0.06085435640148606,-0.06339429060343466,-0.062260031647669835,0.0010969611792363727
1.865334701538086,0.026660282392227154,0.02863788604736328,0.005994566772824284,,2,5,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5}",-0.13385909344536798,-0.13842657209604517,-0.12498110427778719,-0.14904258882595953,-0.1353697762187204,-0.13633582697277605,0.007769558577799464,3,-0.039701992309080184,-0.04183918463736564,-0.04300028854891642,-0.04053116441918778,-0.042346320134709424,-0.04148379000985189,0.001204352933238485
1.8604254245758056,0.2569647257688582,0.027379322052001952,0.005335753727367047,,1,5,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",-0.13506054666024675,-0.14390435601965657,-0.12596395478038644,-0.14848196932145077,-0.13206062722109102,-0.1370942908005663,0.008116827884894564,4,-0.02429233322710843,-0.025226604124054627,-0.02610136876539184,-0.025728244671801914,-0.026770712866772375,-0.025623852731025836,0.000834860234577408
2.0587526321411134,0.05255143268499616,0.027881908416748046,0.001705111921588921,,2,2,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",-0.13504466866039247,-0.14038984425470422,-0.12602285642806077,-0.1525710793541902,-0.13343322497006696,-0.13749233473348293,0.008829274881182974,5,-0.03561053394974593,-0.03626414435252018,-0.0384763041494066,-0.035838211151942634,-0.037536028762716625,-0.03674504447326639,0.001092121049990492
3.436996030807495,0.2035268182845218,0.029548788070678712,0.007623228835533967,,1,2,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",-0.13830275614959706,-0.1427983572409927,-0.12623832621287256,-0.149228739007309,-0.13159251148091716,-0.1376321380183377,0.008098354652666001,6,-3.1720657846433044e-19,-3.7445027018942267e-19,-2.4669664859538436e-19,-3.876661620784611e-19,-5.286356755615379e-19,-3.709310669778273e-19,9.3256316831273e-20
1.3676135540008545,0.12125091119643762,0.029988813400268554,0.006617161565695878,,5,5,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5}",-0.13908627472848561,-0.14079782976081048,-0.14055236968271972,-0.1525679094305809,-0.13409164954187033,-0.14141920662889343,0.006075635831405917,7,-0.07982869481948625,-0.08348697569953763,-0.08419286554781051,-0.08009556712202932,-0.0834866051158982,-0.08221814166095238,0.0018618943399028108
1.4080366134643554,0.1268523936690558,0.028603267669677735,0.005101278970058954,,5,2,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",-0.13908627472848561,-0.14079782976081048,-0.14055236968271972,-0.1525679094305809,-0.13409164954187033,-0.14141920662889343,0.006075635831405917,7,-0.07982869481948625,-0.08348697569953763,-0.08419286554781051,-0.08009556712202932,-0.0834866051158982,-0.08221814166095238,0.0018618943399028108
1.3689117908477784,0.14857697464679057,0.028191423416137694,0.00709569515553162,,5,10,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",-0.13908627472848561,-0.14079782976081048,-0.14055236968271972,-0.1525679094305809,-0.13409164954187033,-0.14141920662889343,0.006075635831405917,7,-0.07982869481948625,-0.08348697569953763,-0.08419286554781051,-0.08009556712202932,-0.0834866051158982,-0.08221814166095238,0.0018618943399028108
1.0411863327026367,0.05569037816775144,0.01771712303161621,0.0028788061638591956,,10,10,"{'model__max_depth': None, 'model__min_samples_leaf': 10, 'model__min_samples_split': 10}",-0.15584617778712542,-0.16691432224057975,-0.1604628994013514,-0.162648967177897,-0.14960387785765186,-0.1590952488929211,0.005937674237576728,10,-0.11582924346964,-0.121051932871788,-0.12139822448415856,-0.11673966545372347,-0.12043797736549522,-0.11909140872896104,0.002330266918088082
