mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
563.0995473861694,1.3544313449649794,4.684123198191325,2.2292840039226096,500,2,1,0.5,,True,"{'model__n_estimators': 500, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': None, 'model__bootstrap': True}",-0.11568510523256417,-0.11525234670310205,-0.11792599779767803,-0.11628781657778142,0.0011717645577282174,1,-0.043246678124409126,-0.044690862355158546,-0.04336100099502716,-0.04376618049153161,0.0006555124414669912
301.64725255966187,0.385413070656817,0.2659608523050944,0.03419041549748572,300,2,1,1.0,40,True,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 1.0, 'model__max_depth': 40, 'model__bootstrap': True}",-0.1184025802220397,-0.11639085337409939,-0.1183037809815208,-0.11769907152588661,0.000925928856871482,2,-0.054687253832478196,-0.056447810534926535,-0.054751991390374934,-0.055295685252593214,0.0008151041804556115
84.6321337223053,0.8055332938653654,5.88800589243571,0.3575082292681551,100,2,2,1.0,,True,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 1.0, 'model__max_depth': None, 'model__bootstrap': True}",-0.1191987803419282,-0.11771215738866264,-0.11752951993563605,-0.11814681922207564,0.0007475764210982536,3,-0.05639633620146121,-0.059069076358332424,-0.056928464181875055,-0.057464625580556226,0.0011551296523521532
387.3572470347087,0.31092795445892735,3.229933579762777,0.14146761484437512,300,2,2,0.8,,True,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.8, 'model__max_depth': None, 'model__bootstrap': True}",-0.11859267535008577,-0.11840347426604263,-0.11759340556991411,-0.1181965183953475,0.0004334036399650728,4,-0.05720182128444437,-0.05970663275577333,-0.0573781670529101,-0.05809554036437594,0.0011414868893181605
100.87010765075684,0.009371680369324453,3.7430214881896973,0.10617720880297495,300,5,2,0.5,,True,"{'model__n_estimators': 300, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': None, 'model__bootstrap': True}",-0.12370831619375018,-0.1238345983320228,-0.12320696242149651,-0.12358329231575649,0.0002710534222829852,5,-0.06567400231156699,-0.06778519424878071,-0.06548602861588895,-0.06631507505874555,0.0010423599353546872
382.38142983118695,2.963601815270784,3.4308295249938965,0.06421564920465263,500,2,2,0.5,40,True,"{'model__n_estimators': 500, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': 40, 'model__bootstrap': True}",-0.12422649705766309,-0.12514078093061443,-0.12451726536861538,-0.1246281811189643,0.0003814057138545276,6,-0.06682361346333819,-0.06981338523681233,-0.0674117193769769,-0.06801623935904247,0.0012932561285125966
181.80323974291483,1.140212852723772,8.781667391459147,0.41602886976415143,300,10,2,1.0,40,True,"{'model__n_estimators': 300, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 1.0, 'model__max_depth': 40, 'model__bootstrap': True}",-0.12822115135330261,-0.12559403862623794,-0.12555575132181793,-0.12645698043378617,0.0012475551435696367,7,-0.08324956332074232,-0.08533615301697971,-0.08168004693457018,-0.08342192109076407,0.0014975665421216163
108.18087720870972,3.6444314501840487,3.294337034225464,0.5380239358067348,200,2,4,1.0,,True,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 1.0, 'model__max_depth': None, 'model__bootstrap': True}",-0.13112365716423405,-0.12879976858785533,-0.1264285102947099,-0.12878397868226643,0.0019168182008108307,8,-0.08409677997535563,-0.08431433428633436,-0.08171959886915704,-0.083376904376949,0.0011752527754131743
117.44958742459615,1.6710866747904536,2.990189870198568,0.2194820844737284,200,5,4,0.8,,True,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 0.8, 'model__max_depth': None, 'model__bootstrap': True}",-0.13279507383272704,-0.13204854276695582,-0.12844784247733773,-0.1310971530256735,0.0018979747002498709,9,-0.08632304316527066,-0.08731924757921518,-0.08418508489373329,-0.08594245854607303,0.001307510974853649
143.90582537651062,0.15538983055256925,6.242283423741658,0.25250813608281936,500,2,4,0.5,,True,"{'model__n_estimators': 500, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 0.5, 'model__max_depth': None, 'model__bootstrap': True}",-0.1390004938042232,-0.13852177410875557,-0.13671531735275794,-0.13807919508857888,0.000984010499743521,10,-0.09349798893359333,-0.0945371251455192,-0.09215871568623252,-0.09339794325511501,0.0009735552517594896
